Solvent,Solute,logK,deltaG_solv
c1ccc(cc1)C#N,CC=C(C)C,2.119,-0.12536
CC(C)CCO,C[N+](=O)[O-],2.73,-0.16151
C=CCO,CC(F)F,1.17,-0.06922
CCCCCCCCO,CC(Cl)(Cl)Cl,2.7,-0.15973
C(=O)N,CCCCC=O,2.76,-0.16328
CCN(CC)CC,CCC(=O)C,2.702,-0.15985
CCO,CCCCCCCCCCCCCCCCCC,7.54,-0.44606
CC(C)CC(C)(C)C,CCO,1.788,-0.10578
CC(=O)c1ccccc1,CCO,2.905,-0.17186
CO,CC(C)CC(C)C,2.188,-0.12944
C1COCCN1C=O,CCC1CCCCC1,2.58,-0.15263
CCCCCCCCO,Cc1cccc(c1)C,3.79,-0.22421
CCCCCCCCCCCCCCCC,CCCCCC(=O)O,3.92,-0.2319
CCC(=O)C,CO,2.81,-0.16624
CC(=O)C,CO,3.03,-0.17925
C1CCOC1,c1ccc(cc1)F,3.62,-0.21416
CCCO,CCC(=O)OC,2.85,-0.1686
CCCCOCCO,Cc1ccccc1,3.44,-0.20351
C(Cl)(Cl)Cl,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])O,7.83,-0.46322
CCCCO,CC(C)O,3.68,-0.21771
CN(C)C=O,CC(F)(F)Cl,1.53,-0.09051
CC(=O)N(C)C,CC(C)CCC(C)C,2.58,-0.15263
CC(=O)OC,CC,0.511,-0.03023
C(Cl)(Cl)Cl,c1ccccc1,3.51,-0.20765
c1ccc(cc1)I,CCCCCO,3.75,-0.22185
c1ccc(cc1)Br,CCCN,2.62,-0.155
CC(C)CCO,C/C=C\C,1.623,-0.09602
Cc1cccc(c1)C,CC(C)CCO,3.615,-0.21386
CCc1ccccc1,CC(C)CO,2.763,-0.16346
CCCCOP(=O)(OCCCC)OCCCC,Cc1cccc(c1)C,3.98,-0.23545
CC(=O)O,CC(=C)C,1.537,-0.09093
C(=O)N,CCC=O,2.39,-0.14139
c1ccncc1,Cc1ccccc1,3.755,-0.22214
CN(C)C=O,CC(C)(C)Br,2.63,-0.15559
CCCCCCCC,C(F)(F)(Cl)Cl,1.29,-0.07632
c1ccc(cc1)Cl,CCCCCCCCC,4.52,-0.2674
CC(C)CC(C)(C)C,II,3.296,-0.19499
CCCCCCCCCCCCCCCC,c1ccc(c(c1)O)Cl,4.937,-0.29207
CC(C)O,CCCCCCCC,3.17,-0.18754
CO,C1CCOC1,3.25,-0.19227
CCOC(=O)C,C=CC=C,2.08,-0.12305
CC(=O)c1ccccc1,CCC1CCCCC1,3.307,-0.19564
Cc1ccccc1C,CCC,1.116,-0.06602
C1COCCN1C=O,C,-0.88,0.05206
C(Cl)Cl,O=O,-0.661,0.0391
C(Cl)(Cl)(Cl)Cl,CCCC(C(C)C)O,4.714,-0.27888
CCCCCCCO,C1CCCC1,2.27,-0.13429
CCCCCCCCO,[Kr],-0.24,0.0142
CCCCCCO,CCCOCCC,3.02,-0.17866
CCCCCCCCCC,N#N,-0.796,0.04709
c1ccc(cc1)Br,C[N+](=O)[O-],3.04,-0.17984
C(Cl)(Cl)(Cl)Cl,[Ge](Br)(Br)(Br)Br,5.21,-0.30822
C1COCCN1C=O,CCCCCCC=C,2.49,-0.14731
CC(C)(C)O,Cc1ccccn1,4.33,-0.25616
C(I)I,C1COCCO1,3.62,-0.21416
C[N+](=O)[O-],CCCC(C)C,1.573,-0.09306
C(Cl)(Cl)(Cl)Cl,c1ccccc1,3.29,-0.19463
c1ccc(cc1)Cl,[N-]=[N+]=O,0.5,-0.02958
C(Cl)(Cl)Cl,C(=O)=O,0.446,-0.02639
CC(C)CO,CC(C)C,1.32,-0.07809
CCCCCCCCCCO,CC(C)(C)OC,2.734,-0.16174
c1ccc(cc1)C#N,c1ccccc1,3.184,-0.18836
CCCCO,CCCC=C,1.94,-0.11477
CCCO,[He],-1.56,0.09229
CCCCCCCCCCCCCCCC,C(CCl)CCl,3.194,-0.18895
CCCCCl,C1CCC(=O)C1,4.0,-0.23664
CCCCC,[C-]#[O+],-0.4,0.02366
CC(C)CO,CC,0.47,-0.0278
CN1CCCC1=O,CCOCC,2.03,-0.12009
CCCCCCC,[Xe],0.65,-0.03845
CCCO,C1CC1,1.15,-0.06803
C(Cl)(Cl)(Cl)Cl,CC(C)CC(C)O,3.835,-0.22688
CCCCOP(=O)(OCCCC)OCCCC,CC1CCCCC1,2.95,-0.17452
Cc1ccccc1,CCOC(C)(C)C,3.01,-0.17807
Cc1ccccc1,C(Cl)(Cl)Cl,3.122,-0.1847
c1ccc(cc1)Cl,CCC(=O)O,3.2,-0.18931
CCCCCCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC,7.4,-0.43778
c1ccncc1,CCC(=O)C,3.416,-0.20209
COc1ccccc1,C1CCCCC1,2.789,-0.165
C1CCC(=O)CC1,C(=S)=S,2.424,-0.1434
CCCCCCCCCCCCCCCC,CCCCI,3.628,-0.21463
CCCCCCCCCCCCCCCC,CCCCBr,3.105,-0.18369
CCCCCCCCCCO,C(CCl)C(O)Cl,5.13,-0.30349
Cc1cccc(c1)C,COC,1.501,-0.0888
C(=O)N,CCCCCCCCC,1.22,-0.07217
CCCCCO,CCCCO,4.45,-0.26326
CCOC(=O)C,CCBr,2.59,-0.15322
CCCCOCCCC,CCC(=O)C,2.73,-0.16151
CN1CCCC1=O,CC1CCCCC1,2.63,-0.15559
CO,[N]=O,-0.457,0.02704
CCOC(=O)C,[C-]#[O+],-0.6,0.0355
CCCCCCCCCC,CCCCCCC,3.3,-0.19523
CCOCC,CC#N,2.66,-0.15736
C(=O)N,C1CCOC1,2.69,-0.15914
CCCCCCCCCCCCCCCC,CCC(C)(C)OC,2.83,-0.16742
CC(C)(C)O,Cc1cccnc1,4.27,-0.25261
C(Cl)(Cl)(Cl)Cl,CCI,3.06,-0.18103
C(Cl)(Cl)(Cl)Cl,CCCCC(C)(C)O,4.266,-0.25237
C(Cl)(Cl)Cl,CC(C)NC(C)C,3.97,-0.23486
C1CCC(=O)CC1,[He],-1.804,0.10672
C(CCl)Cl,c1ccc(cc1)CO,5.35,-0.3165
CN(C)C=O,CCC#N,3.67,-0.21711
C(Cl)(Cl)Cl,CCOC(=N)O,5.67,-0.33543
CCCCCCCCCC,[C-]#[O+],-0.682,0.04035
c1ccncc1,CCCO,4.101,-0.24261
CCCCCCC,CCCCCCCCN,5.04,-0.29816
CCOCCO,CCCCCCCCCCC,4.185,-0.24758
CCOC(=O)C,CC#N,3.07,-0.18162
CCCCCCCCCCCCCCCC,CCCCCC=C,3.063,-0.18121
CCCO,CNC,2.19,-0.12956
CCCCO,CC(C)OC(C)C,2.75,-0.16269
CCCCOC(=O)C,[C-]#[O+],-0.641,0.03792
CCCCCCCCCC,CC1CCCCC1,3.35,-0.19818
CCC(C)(C)O,CC(=C)C,1.53,-0.09051
C(Cl)(Cl)(Cl)Cl,OO,1.69,-0.09998
CCCCCCCCCCCCCCCC,c1cc(ccc1Cl)Cl,4.4,-0.2603
CC1COC(=O)O1,CCCCCCC,1.88,-0.11122
C(Cl)(Cl)Cl,c1ccc(c(c1)C#N)C#N,8.2,-0.48511
Cc1ccccc1,C(Cl)Cl,2.67,-0.15796
CCO,CC(C)I,2.92,-0.17275
CCCCCC,C,-0.025,0.00148
CN(C)C=O,CCOC(=O)C,3.18,-0.18813
C1CC(=O)OC1,Cc1ccccc1,3.524,-0.20848
CCCCCC,CCCCCCCC,3.97,-0.23486
CCC#N,C1CCCCC1,2.471,-0.14618
C1CCOC1,CCCCCCl,4.159,-0.24604
CC(=O)c1ccccc1,c1ccccc1,3.142,-0.18588
CC1CCCCC1,FS(F)(F)(F)(F)F,0.13,-0.00769
c1ccc(cc1)C#N,CCC(=O)C,3.356,-0.19854
C=CCO,CCC,0.82,-0.04851
CCCCCCCCO,CCCCCCOC(=O)C,4.58,-0.27095
CCCCCCCC,N#N,-0.709,0.04194
CCCCCCCC,CCC(=O)OCC,3.01,-0.17807
CCCCCO,CCCCCC,2.44,-0.14435
CCCCCC,[Xe],0.68,-0.04023
CCCCC,N#N,-0.53,0.03135
CCCCCC,CCOC(C)(C)C,2.98,-0.17629
CCCCCCO,CCCCCCCCO,6.29,-0.37211
CCC(=O)C,O=O,-0.56,0.03313
CCCCCCCCCCCCCCCC,CCC(C)(C)O,2.63,-0.15559
CO,CCCOC(=O)C,3.53,-0.20883
C(Cl)(Cl)(Cl)Cl,Cc1ccc(cc1)N,5.21,-0.30822
CC1COC(=O)O1,C(=O)=O,0.63,-0.03727
c1ccc(cc1)Cl,CCCCOC(=O)C,4.28,-0.2532
Cc1ccc(cc1)C,Cc1ccccc1,3.735,-0.22096
CCCCCCCCCCCCCCCC,CC(C)C(=O)C,2.66,-0.15736
CC(C)CC(C)(C)C,C1CCOC1,2.726,-0.16127
CCCO,CCC(=O)C,3.07,-0.18162
CC1COC(=O)O1,CC(C)CCC(C)C,1.94,-0.11477
CCCCCCCCCCCCCCCC,C(Cl)(Cl)Cl,2.48,-0.14672
CCC(C)(C)O,COC,1.63,-0.09643
CCCCCCCCCCCCCCCC,CC=C,0.946,-0.05596
C[N+](=O)[O-],Cc1ccccc1,3.372,-0.19949
CCCCCl,CC(C)CC(C)(C)C,3.354,-0.19842
C1COCCN1C=O,C1CC=CC1,1.85,-0.10944
C(=O)N,CCCC(=O)C,3.02,-0.17866
CCCCCCCCCCCC,C,-0.23,0.01361
C(=S)=S,Cc1ccccc1,3.861,-0.22841
C1CCOC1,CCC(=O)C,3.33,-0.197
CCCCCCCCCCO,CCCCCCCCCO,6.57,-0.38868
C=CCO,CC(=C)C,1.39,-0.08223
CC(C)CCO,CCO,3.51,-0.20765
CCCCCCCCCCCC,CCOCCO,2.81,-0.16624
CN(C)C=O,C(C(F)(F)F)(F)Cl,1.79,-0.1059
CCCOCCC,CCC(C)O,3.225,-0.19079
CCCCC,CC(C)CC(C)C,3.16,-0.18694
C(CCl)Cl,CCO,2.67,-0.15796
CC(C)CC(C)(C)C,CCCCCCCCCCCCO,6.321,-0.37395
CC(C)CCO,CC(=C)C,1.462,-0.08649
CC(C)(C)O,O=O,-0.57,0.03372
CCCCCC,CCC[N+](=O)[O-],2.97,-0.1757
CC(=O)C,CC(C)(C)Br,2.83,-0.16742
Cc1ccccc1,c1ccccc1,3.268,-0.19333
CCCCCO,N#N,-0.94,0.05561
CCCC(C)O,CC=C,0.96,-0.05679
CN(C)C=O,c1ccc(cc1)c2ccccc2,6.84,-0.40465
C(Cl)(Cl)Cl,c1cc(ccc1O)Cl,6.23,-0.36856
CN1CCCC1=O,C(=C(F)F)Cl,1.66,-0.0982
C(Cl)(Cl)(Cl)Cl,CC(C)CCCO,3.999,-0.23658
CCC(C)O,CCN(CC)CC,3.53,-0.20883
CCCCCCC,C1CCCCCCC1,4.273,-0.25279
c1ccncc1,CCO,3.681,-0.21777
CC1COC(=O)O1,CC1CCCCC1,2.14,-0.1266
c1ccc(cc1)N,[N-]=[N+]=O,0.149,-0.00881
CCCCCCCCCC,CCCN,2.174,-0.12861
CCCOCCO,CCCCCC#C,3.13785115544,-0.18563
CCCCCCCCO,CC(=O)OC,2.31,-0.13666
CCCCCCCCCCCCCCCC,CC(C)SC(C)C,3.6,-0.21297
C1COCCN1C=O,CC,-0.14,0.00828
C(CCl)Cl,CCCCCCCC,3.44,-0.20351
CC(C)(C)O,CCCC#N,3.42,-0.20232
CC(=O)C,CC(C)C,1.37,-0.08105
CN1CCCC1=O,C(Cl)(Cl)Cl,3.84,-0.22717
CCCCCCCCCCCCCCCC,CC(=O)OC,1.96,-0.11595
CC(C)(C)OC,CC(C)CC(C)(C)C,3.41,-0.20173
c1ccc(cc1)Cl,CCCOC(=O)C,3.73,-0.22066
CN1CCCC1=O,CCCCCCC,2.34,-0.13843
c1ccc(cc1)C#N,CC(C)(C)Cl,2.307,-0.13648
CC(=O)OC,C[N+](=O)[O-],3.763,-0.22262
CCCCOP(=O)(OCCCC)OCCCC,c1ccccc1,3.04,-0.17984
c1ccncc1,c1ccccc1,3.306,-0.19558
CCOC(=O)C,C1CCOC1,3.01,-0.17807
c1ccc(cc1)Cl,CCCl,2.17,-0.12838
C(Cl)(Cl)Cl,CCCC(C)(C)O,4.174,-0.24693
CCCCC,CC=C,1.31,-0.0775
C(Cl)(Cl)Cl,CNc1ccccc1,5.84,-0.34549
CCCO,N,1.76,-0.10412
CCc1ccccc1,CCCCCCCCCC,4.826,-0.2855
CCCCCCCCCCCCCCCC,CC(Cl)Cl,2.35,-0.13902
c1ccc(cc1)Cl,c1ccc(cc1)N,5.2,-0.30763
C1CCC(=O)CC1,C1COCCO1,3.666,-0.21688
CC(=O)N(C)C,CCCCCCC,2.55,-0.15086
CCCCCCO,CCCCCCC,2.934,-0.17357
c1ccc(cc1)C#N,[C-]#[O+],-0.789,0.04668
c1ccc(cc1)C#N,CCC,0.816,-0.04827
C(Cl)(Cl)Cl,CC(C)CO,3.64,-0.21534
CCCCCCCCCCCC,CCCC(=O)CC(=O)CCC,5.31,-0.31414
c1ccc(cc1)Cl,CCCCCC,2.95,-0.17452
CCCCCCCCO,CCOC(=O)C,2.7,-0.15973
CCCCCC,Cc1ccccc1,3.48,-0.20587
CCOCC,CCOC(C)(C)C,3.25,-0.19227
CC(C)OC(C)C,CCO,2.672,-0.15807
CCCCOP(=O)(OCCCC)OCCCC,CCCc1ccccc1,4.39,-0.25971
CO,C(Cl)(Cl)(Cl)Cl,2.66,-0.15736
CCCCCl,CI,2.524,-0.14932
CCCCOCCO,CCCCCCCCC,3.71,-0.21948
c1ccncc1,CC(C)O,3.636,-0.2151
C(=O)N,C[N+](=O)[O-],3.48,-0.20587
CCCCCCCC,CCI,2.68,-0.15855
CCCCOC(=O)C,c1ccccc1,2.84,-0.16801
C(Cl)Cl,Cc1ccccc1,4.021,-0.23788
CC(=O)c1ccccc1,CCC(=O)C,3.241,-0.19174
CC1COC(=O)O1,CC,0.1,-0.00592
CC(CO)O,c1ccc(cc1)Cl,3.196,-0.18907
CCC(=O)C,[N-]=[N+]=O,0.69,-0.04082
CCCCCCCCO,CC1CCCCC1,3.05,-0.18044
CCCCCCCCCCCCCCCC,CCCC#C,2.01,-0.11891
CC(C)O,c1ccncc1,3.86,-0.22836
CCCCOC(=O)C,Cc1ccccc1,4.03,-0.23841
Cc1ccccc1,C(CCl)O,3.42,-0.20232
c1ccc(cc1)C#N,c1ccc(c(c1)Cl)Cl,5.0,-0.2958
CC(C)(C)O,CCCO,4.07,-0.24078
C(Cl)(Cl)Cl,Cc1ccccc1O,5.54,-0.32774
C1CCC(=O)CC1,CC,0.387,-0.02289
C1COCCO1,CCOC(=O)C,3.29,-0.19463
C(Cl)(Cl)(Cl)Cl,C(F)(F)(F)F,-0.6,0.0355
CCCCO,N#N,-0.91,0.05384
CCCCCCC,C,-0.075,0.00444
C1CCOC1,[Kr],-0.07,0.00414
C1CCOC1,C(Cl)Cl,3.13,-0.18517
c1ccc(cc1)N,CCCl,1.941,-0.11483
CC(CO)O,CCCCCC,1.306,-0.07726
CC(C)(C)O,CCc1ccccc1,3.66,-0.21652
CCCCCCCCCCO,CCCCCCCCCCCO,7.53,-0.44547
CN(C)C=O,CCCCCCC=C,2.85,-0.1686
C(Cl)(Cl)(Cl)Cl,CC(C)CC(C)C,3.127,-0.18499
C(Cl)(Cl)Cl,COc1ccc(cc1)O,6.61,-0.39104
C1CCOC1,CC(=O)C,2.85,-0.1686
CCCCCCCCCCCCCCCC,CCCCCC=O,3.37,-0.19937
C1COCCN1C=O,C[C@@H]1CCCC[C@@H]1C,2.59,-0.15322
CCCCOCCCC,CCCCO,3.43,-0.20292
CCCCCCCCO,CN(C)C=O,4.38,-0.25912
CCC(C)CO,C/C=C\C,1.62,-0.09584
CC1COC(=O)O1,CCCCCCC=C,2.47,-0.14612
CC#N,Cc1ccccc1,3.465,-0.20499
CC(=O)c1ccccc1,CC=C(C)C,2.045,-0.12098
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccccc1,3.53,-0.20883
CCCCCC,Cc1ccc(cc1)N,4.44,-0.26267
C1COCCO1,CC(C)O,3.2,-0.18931
CCCCCCCO,CCCC,1.43,-0.0846
CCCCCCC,CCOC(=O)C,2.59,-0.15322
CC(C)(C)O,N#N,-0.82,0.04851
CCCCCCCCCCCC,CCOC(=O)OCC,3.23,-0.19108
CCOCCO,CC(=O)OC,2.703,-0.15991
CCCCCCCC,C(=S)=S,2.41,-0.14257
C(CCl)Cl,CCOC(C)OCC,3.86,-0.22836
CCCCCCCCCCCCCCCC,c1ccc(cc1)C#N,4.004,-0.23687
Cc1ccccc1,C1COCCO1,3.611,-0.21362
CCCCCCCCCCCCCCCC,COC(=O)c1ccccc1,4.634,-0.27414
CCCOCCC,CC(C)(C)O,2.87,-0.16979
CCCO,CC(C)C(C)C(C)C,2.95,-0.17452
C(CCl)Cl,COCCOC,3.55,-0.21002
Cc1ccccc1C,C/C=C/C,1.812,-0.1072
CN(C)C=O,CC(=O)OC,2.86,-0.1692
c1ccc(cc1)Cl,CCCCO,3.16,-0.18694
CCCO,FS(F)(F)(F)(F)F,-0.13,0.00769
C(CCl)Cl,CC(Cl)(Cl)Cl,3.11,-0.18399
CN1CCCC1=O,CCCC=O,3.05,-0.18044
C1CCOC1,O=O,-0.6,0.0355
CCCCCCC,C1CCCC1,2.582,-0.15275
CCOC(=O)C,c1ccc(cc1)Cl,4.15,-0.24551
CCCCCCCCCCCCCCCC,C(Br)Br,2.849,-0.16854
c1ccc(cc1)Cl,C(F)(F)(F)F,-0.95,0.0562
CCCCCC,c1ccc(cc1)Cl,3.82,-0.22599
C(Cl)(Cl)Cl,c1cc(c(cc1Cl)Cl)O,5.74,-0.33957
CCOc1ccccc1,CCO,3.391,-0.20061
CCCCCCCCCCCCCCCC,CCCI,3.13,-0.18517
CCCCCC,N#N,-0.588,0.03479
CC(C)O,CCCCC,1.85,-0.10944
CCCCO,CCC(C)CC,2.34,-0.13843
C/C(=N/C)/O,CCOC(C)(C)C,2.49,-0.14731
CCc1ccccc1,Cc1ccccc1,3.724,-0.22031
C(Cl)(Cl)Cl,C(=O)(C(Cl)(Cl)Cl)N,5.07,-0.29994
CCC(C)O,[HH],-1.14,0.06744
Cc1ccc(cc1)C,CC(C)CC(C)C,2.962,-0.17523
CC1CCCCC1,CCc1ccccc1,4.02,-0.23782
CCCCCl,CCOCC,2.487,-0.14713
Cc1ccccc1,CCCCC(=O)C,4.105,-0.24285
CCCCCCCCO,C[Sn](C)(C)C,2.62,-0.155
CC(C)OCCO,CC(=O)C,2.67150433115,-0.15804
CCCCO,C(C(F)(Cl)Cl)(F)(Cl)Cl,2.71,-0.16032
CCOC(=O)C,CC(C)(C)Br,2.97,-0.1757
CCOC(=O)C,CCO,3.02,-0.17866
CCCO,CCCl,1.86,-0.11004
CCCCCCCCCCCCCCCC,CCCCCCCCl,4.21,-0.24906
CC(C)CO,[Ar],-0.59,0.0349
c1ccc(cc1)C#N,c1ccc(cc1)CO,5.864,-0.34691
CCOCC,CCCCCl,3.21,-0.1899
c1ccc(cc1)F,[He],-1.52,0.08992
CCCCCCC,C(CCl)Cl,2.71,-0.16032
C(Cl)(Cl)Cl,CCOC(=O)CC(=O)C,5.79,-0.34253
CC(C)O,CCC(=O)C,2.99,-0.17689
C/C(=N/C)/O,CC#N,3.1,-0.18339
CCCCCCCCCCCCCCCC,CC[Sn](CC)(CC)CC,5.08,-0.30053
CCCCCCCC,CI,2.19,-0.12956
CC1COC(=O)O1,CC(=C)C=C,1.79,-0.1059
CO,[N-]=[N+]=O,0.51,-0.03017
C1COCCN1C=O,CCCCCCCCCC,3.04,-0.17984
C1CCC(=O)OCC1,CC(=O)C,2.761,-0.16334
CS(=O)C,CC#N,3.367,-0.19919
c1ccncc1,CCCCO,4.558,-0.26965
Cc1cccc(c1)C,CC(=O)C,2.493,-0.14748
C(Cl)(Cl)(Cl)Cl,CC(Cl)Cl,2.77,-0.16387
CCCCCO,CC(C)O,3.66,-0.21652
CCCCCCC,Cc1ccccc1N,4.56,-0.26977
CN(C)C=O,CC1CCCC1,2.21,-0.13074
CCCCCC,CC#N,1.77,-0.10471
C(Cl)(Cl)(Cl)Cl,CCCCCCCCC,4.546,-0.26894
CCCCO,C1CC1,1.26,-0.07454
C(Cl)(Cl)(Cl)Cl,CCC[N+](=O)[O-],3.44,-0.20351
C(Cl)(Cl)(Cl)Cl,C(C(Cl)Cl)(Cl)Cl,4.347,-0.25717
C(Cl)(Cl)Cl,[Kr],0.01,-0.00059
C/C(=N/C)/O,CCOC(=O)C,2.96,-0.17511
c1ccc(cc1)Br,OC(OCC)C,3.61,-0.21357
c1ccncc1,CCCCOC(=O)C,4.242,-0.25095
C(I)I,CCCC(=O)C,3.09,-0.1828
C1CCC(=O)CC1,C=C,0.401,-0.02372
c1ccncc1,C1CCCCC1,2.723,-0.16109
CCCCOCCCC,CCCCCCCC,3.85,-0.22776
CC(C)CC(C)(C)C,CC(C)CO,2.604,-0.15405
CCCCCCCCCC,CC(C)(C)CCO,3.459,-0.20463
CC(=O)C,C(=S)=S,2.25,-0.13311
CCCCCCCCCCCCCCCC,CCCCCOC(=O)C,3.81,-0.2254
c1ccc(cc1)F,C[N+](=O)[O-],3.28,-0.19404
CCCCCCCCCCCCCCCC,c1ccc(cc1)Cl,3.64,-0.21534
CC(C)CC(C)(C)C,CCC(=O)C,2.492,-0.14743
CCCCCCCCCCCCCCCC,CC(C)CCl,2.566,-0.1518
CCCCCCCCCCC,CCCCCCCCCC,4.96,-0.29343
COCCO,CC(=O)C,2.781,-0.16452
CC(=O)N(C)C,c1ccc(cc1)Cl,3.67,-0.21711
c1ccncc1,CCCCCC=C,3.037,-0.17967
CN(C)C=O,C1CCCCCCC1,3.22,-0.19049
CCc1ccccc1,C1CCCCC1,3.006,-0.17783
CCCCCCCCCCCC,C1CCCCC1,2.95,-0.17452
C/N=C/O,CCCC(=O)C,3.44,-0.20351
CC(C)O,C,-0.33,0.01952
CCC(=O)C,CCOC(=O)C,3.29,-0.19463
C(Cl)(Cl)Cl,CCCCCOC(=O)C,5.44,-0.32183
CCCO,CC(C)OC(C)C,2.78,-0.16446
C(Cl)(Cl)Cl,CCCCCC(=O)OC,5.31,-0.31414
CCCCCCC,O=S=O,1.0,-0.05916
CCCCCCCC,CCCC(=O)OCC,3.44,-0.20351
CCC(C)O,C(=O)=O,0.24,-0.0142
CCCCCCCCCCC,[Kr],-0.06,0.00355
C1CCOC1,CCOC(=O)C,3.34,-0.19759
c1ccc(cc1)[N+](=O)[O-],CCO,2.519,-0.14902
CCc1ccccc1,C(=O)=O,0.336,-0.01988
CCCCO,c1ccncc1,3.95,-0.23368
CC(C)CO,[cH-]1cccc1.[cH-]1cccc1.[Fe+2],5.4,-0.31946
C(Cl)(Cl)(Cl)Cl,CCCC(C)C(C)O,4.347,-0.25717
CC(C)OCCO,CCc1ccccc1,3.79684746448,-0.22462
C(Cl)(Cl)Cl,Cc1ccc(c(c1)O)C,5.93,-0.35081
CCOC(=O)C,CC(=C)C=C,2.41,-0.14257
CC1COC(=O)O1,C(Cl)(Cl)Cl,2.88,-0.17038
CCCCCCCCCCC,[Ar],-0.53,0.03135
COCCO,Cc1ccc(cc1)C(C)C,4.213,-0.24924
CCCCOCCCC,CC(Cl)(Cl)Cl,2.99,-0.17689
CC(=O)C,CC(C)(C)C,1.63,-0.09643
C(Cl)(Cl)Cl,CC#N,3.25,-0.19227
CCCCCCCC,CCCCC(C)CC,3.27,-0.19345
CC(=O)C,CC#N,2.81,-0.16624
C(CCl)Cl,CC(C)(C)Cl,2.62,-0.155
CCCO,c1ccc(cc1)CCl,4.41,-0.26089
CCCCCCC,O,0.43,-0.02544
CC(C)CCO,C/C=C/C,1.572,-0.093
CCCCCCC,CCCCCC(=O)C,3.826,-0.22634
C1CCC(=O)CC1,C[N+](=O)[O-],3.711,-0.21954
CCCCCO,CCN(CC)CC,3.64,-0.21534
C/C(=N/C)/O,CCC(C)C,1.49,-0.08815
CCCCCCC,CCCCCC=C,3.3,-0.19523
CC(=O)N(C)C,CC(C)(C)Cl,2.27,-0.13429
C(Cl)(Cl)Cl,CCOCC,3.05,-0.18044
CCCO,c1ccccc1,2.78,-0.16446
CCCCCCCCCC,C1CCCC1,2.54,-0.15026
C1COCCO1,CCC1CCCCC1,3.39,-0.20055
CCCCCCCCO,CCI,2.59,-0.15322
CCOC(=O)C,CCC1CCCCC1,3.54,-0.20942
c1ccc(cc1)C#N,O=S=O,1.902,-0.11252
CC(C)O,CCCC(C)C,2.16,-0.12778
c1ccncc1,C1CCC=CC1,3.019,-0.1786
CCCCCCC,C1CCC(=O)C1,3.32,-0.19641
CCO,CCCCC,1.78,-0.1053
CCCCCCC,c1ccc(cc1)C=O,4.031,-0.23847
CCCCOP(=O)(OCCCC)OCCCC,C=CC=C,1.68,-0.09939
CC(C)CC(=O)C,C(CCl)Cl,3.429,-0.20286
CN(C)C=O,O=S=O,2.66,-0.15736
Cc1cccc(c1)C,[Ar],-0.628,0.03715
CC(=O)C,CN(C)C=O,4.71,-0.27864
CO,CCc1ccccc1,3.58,-0.21179
CCCCCO,COC,1.45,-0.08578
CC(=O)c1ccccc1,CCC(=O)O,4.92,-0.29106
CCC(=O)C,CC(C)C(C)C(C)C,3.22,-0.19049
COCCO,Cc1ccccc1C,3.857,-0.22818
c1ccncc1,CC(CCl)Cl,3.668,-0.217
C1CC(=O)OC1,CCCCCC,1.661,-0.09826
CCC(=O)C,CC(C)CC(C)(C)C,2.97,-0.1757
CCCCCCC,CCCCCCCN,4.52,-0.2674
C(Cl)(Cl)Cl,c1ccc(c(c1)N)[N+](=O)[O-],7.24,-0.42831
c1ccc(cc1)Br,CCCOC(=O)C,3.57,-0.2112
C(I)I,CCO,2.13,-0.12601
C(Cl)(Cl)(Cl)Cl,CC(C)CCC(C)O,4.453,-0.26344
CO,C/C=C\C,1.51,-0.08933
COc1ccccc1,CCCCCCCCC,3.912,-0.23143
CN(C)C=O,CCI,2.73,-0.16151
CCCCCCC,CCCCC(=O)C,3.335,-0.1973
CCCCCCCCO,[He],-1.72,0.10175
CC(C)(C)O,CC(=C)C,1.49,-0.08815
CCCCCCCCO,C1CCOC1,2.86,-0.1692
C(CCl)Cl,CCCCCCC,2.98,-0.17629
c1ccc(cc1)Br,[Ar],-0.8,0.04733
CCCCCCCCCCCCCCCC,c1ccccc1,2.803,-0.16582
CN(C)C=O,C/C=C\C=C,2.27,-0.13429
C1COCCN1C=O,CCCCCCC,1.88,-0.11122
CC(C)(C)O,CC=C,0.99,-0.05857
Cc1ccccc1,CC(C)C(C)C(C)C,3.54,-0.20942
C1CCC(=O)OCC1,CCCCC=C,2.087,-0.12347
CC(C)CC(C)(C)C,N#N,-0.637,0.03768
CN1CCCC1=O,CCCCCCC=C,2.91,-0.17215
C(Cl)(Cl)Cl,CN(C)c1ccccc1,6.01,-0.35555
CN1CCCC1=O,CC(C)CC(C)(C)C,2.29,-0.13547
CCCCCCCCCCO,[C-]#[O+],-0.909,0.05378
CC(C)O,c1ccc(cc1)/C=C/c2ccccc2,7.14,-0.4224
CCCCCCCCC,CCCCCCC,3.34,-0.19759
c1ccc(cc1)Cl,CC(=C)C(=O)O,3.94,-0.23309
CCCCCl,c1ccc(cc1)N,4.887,-0.28911
CCCCCCC,CCOC(C)(C)C,2.92,-0.17275
CCCCCC,CCCOC(=O)C,2.955,-0.17482
CCCCCCCCCCCCCCCC,CC(C)(C)OC,2.29,-0.13547
CCCCCCCCCC,CC(=O)C(C)(C)C,3.042,-0.17996
CN(C)C=O,C(F)(Cl)Cl,0.99,-0.05857
CC(=O)C,S,1.39,-0.08223
